ID  объявления;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Можно с детьми/животными;Дополнительно;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
171095114;2;Квартира;м. Фонвизинская (13 мин пешком);Москва, улица Академика Комарова, 1А;45.0/30.0/6.0;6/9, Панельный;;33000.0 руб./ За месяц, Залог - 33000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79260171728;ID 16084. В аренду предлагается 2-комнатная квартира. В квартире выполнен классический косметический ремонт. Кухня оснащена всей необходимой бытовой техникой. Функциональная планировка: светлая кухня, смежные комнаты. Совмещенный санузел оснащен качественной сантехникой. В квартире чисто, уютно. Имеется кладовая комната. Рядом, через дорогу находится Ботанический сад, Останкинский парк. Рассматриваем платежеспособных Славян. Цена 33.000 рублей + счетчики., 9 фото;;20+10;Балкон (1);На улицу и двор;Совмещенный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Телевизор;;;;Пасс (1);;https://www.cian.ru/rent/flat/171095114
172674159;2, Изолированная;Квартира;м. Выхино (10 мин пешком);Москва, Ферганская улица, 16К1;45.0/29.0/7.0;5/9, Панельный;наземная;37000.0 руб./ За месяц, Залог - 37000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79295158429, +79295090376;8-929-515-84-29 Светлана. Сдам чистенькую и аккуратную квартиру в шаговой доступности от метро. Комнаты изолированные. С/у тоже изолирован. Торг возможен. Рассмотрим всех приличных. Состав и национальность обсуждаема., Возможен торг, При взаимной симпатии., 14 фото;Косметический;17-12;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;2.5;Пасс (1);Да;https://www.cian.ru/rent/flat/172674159
171290583;2;Квартира;м. Октябрьское поле (15 мин пешком);Москва, улица Генерала Глаголева, 30К4;55.0/33.0/10.0;10/16, Панельный;;40000.0 руб./ За месяц, Залог - 40000 руб., Срок аренды - Длительный, Предоплата 1 мес;+79067351536, +74955148789;Надежда. Сдается уютная, светлая квартира с хорошим ремонтом. Вся необходимая мебель и бытовая техника имеется. Рассмотрим всех приличных славян. На длительный срок. Депозит разбивается., Москва, Северо-Западный административный округ, улица Генерала Глаголева 30к4, м. Октябрьское поле, 2 комн., общ. пл. 55 кв.м., жил.пл. 33 кв.м., комнаты 33, кухня 10 кв.м., 10/16 этаж, санузел раздельный, нет, хороший ремонт, мебель, стиральная машина, холодильник, телевизор, возможно с детьми, 19 фото;Евроремонт;33;;Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;Пасс (1), Груз (1);;https://www.cian.ru/rent/flat/171290583
169034401;2, Изолированная;Квартира;м. Новогиреево (5 мин на машине);Москва, улица Сталеваров, 4К4;45.0/29.0/7.0;5/9, Панельный;наземная;21000.0 руб./ За месяц, Залог - 21000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79175671940, +79104662079;Квартира сдаётся с частичным ремонтом-в одной комнате поклеены обои,постелен ламинат,есть туалет,ванна,электричество, лоджия застеклена,стеклопакеты, до метро Новогиреево можно дойти пешком за 20 минут., 5 фото;Без ремонта;18-11;Лоджия (1);Во двор;Совмещенный (1);Можно с детьми, Можно с животными;Ванна;;;;Пасс (1), Груз (1);Да;https://www.cian.ru/rent/flat/169034401
172393274;2;Квартира;м. Рязанский проспект (7 мин пешком);Москва, 4-й Вешняковский проезд, 5К4;45.0/30.0/6.0;2/5, Панельный;;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79265332035;Елена. Обычная,чистая, квартира.Минимум мебели,шкаф трехстворчатый,холодильник.Рассмотрим всех приличных нанимателей.Кроме Азии.;Косметический;;Балкон (1);;Раздельный (1);Можно с детьми, Можно с животными;Мебель на кухне, Холодильник, Интернет;;;2.64;;;https://www.cian.ru/rent/flat/172393274
171105545;2, Изолированная;Квартира;м. Выхино (17 мин пешком);Москва, Ташкентский переулок, 9К1;48.0/30.0/6.0;5/9, Панельный;наземная;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79857354657, +79859751045;Двухкомнатная квартира в пешей доступности от метро Выхино. Свежая косметика, минимум необходимой мебели (угловой диван, кровать, шкаф, журнальный столик, наборный кухонный гарнитур) и бытовой техники (новая стиральная машина, холодильник, плита, жк тв). Рассмотрим приличных нанимателей, состав обсуждается. Залоговую сумму, при необходимости, разобьем на 2 платежа. Звоните, 15 фото;Косметический;30;Балкон (1);Во двор;Раздельный (1);Можно с детьми;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/171105545
169703331;2, Изолированная;Квартира;м. Саларьево (7 мин на машине);Москва, Внуковское поселение, улица Авиаконструктора Петлякова, 5;53.0/33.0/9.8;11/17;наземная;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79265447446;"Вашему вниманию предлагается квартира с свежим ремонтом, в квартире практически не жили! Квартира в данный момент без мебели, покупка обсуждается.
Транспортная доступность до метров Саларьево занимает 7 мин на маршрутке, метро Рассказовка откроется в марте 2018. 
Вся инфраструктура в пешей доступности. 
Рассмотрим семью или молодую пару, можно с детьми и с маленькими животными., 21 фото";Косметический;19-11,5;Лоджия (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Ванна, Интернет, Телефон;Солнцево-Парк;;;Пасс (1), Груз (1);;https://www.cian.ru/rent/flat/169703331
170887080;2, Смежная;Квартира;м. Бульвар Дмитрия Донского (10 мин на машине);Москва, Щербинка, улица Симферопольская, 3б;44.0/30.0/8.0;3/5, Кирпичный;наземная;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79647776301;"Внимание сдается очень хорошая квартира ! Рядом станция ""Щербинка "" 15-20 минут и вы в центре Москвы ! 10 - 15 минут на автобусе и вы рядом с метро "" Дмитрия Донского "" . Две смежные комнаты + балкон . В гостинной уютный диван , телевизор , а в место шкафа темная комната ! куда поместятся все ваши личные вещи . В спальне шкаф , стол , диван . С/у совмещен , кафель , стиральная машина , ванна . На кухне духовой шкаф , плита стеклокерамика , холодильник , гарнитур Рассмотрим чистоплотных славян., 10 фото";Косметический;18+12;Балкон (1);;Совмещенный (1);;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/170887080
172682111;2, Смежная;Квартира;м. Бульвар Дмитрия Донского (15 мин на машине);Москва, Щербинка, улица Театральная, 2а;46.0/33.0/6.0;4/5, Кирпичный;наземная;25000.0 руб./ За месяц, Залог - 25000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79031458989;СУПЕР вариант в этом районе. От станции Щербинка 12 мин. пешком.  Квартира после качественного ремонта с элементами ЕВРО. Окна пвх, Кухня гарнитур +обеденная зона. Комнаты меблированы СОВРЕМЕННОЙ мебелью. Су раздельный в плитке. Вся бытовая техника: тв, холодильник, ст/а. Чистый подъезд. Места для парковки. Развитая инфраструктура района. Удобное сообщение с Москвой: автобусы, маршрутки, станция Щербинка. Рассмотрят ВСЕХ порядочных  нанимателей. Звоните, уважаемые коллеги и клиенты. Подробнее по тел., 14 фото;Евроремонт;20-13;Балкон (1);Во двор;Раздельный (1);Можно с детьми, Можно с животными;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет;;;;;;https://www.cian.ru/rent/flat/172682111
170533945;2, Оба варианта;Квартира;м. Ростокино (9 мин пешком);Москва, Ростокинская улица, 5К2;46.0/29.0/6.0;7/9, Блочный;;25000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес;+79852762705;Без депозита.Сдаётся чистая, уютная квартира в пешей доступности от метро. Кухонный гарнитур со всей бытовой техникой. Необходимая мебель для проживания. Оперативный показ.;Косметический;14+15;Балкон (1);Во двор;Совмещенный (1);;Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник;;;2.64;Пасс (1);Да;https://www.cian.ru/rent/flat/170533945
